Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
35.21,6.2,17.04,4.0,14.55,14.0,1.33,False,False,True,2.9849283645981664,-2.4420455668530914
4.08,6.8,24.6,7.07,2.5,62.6,3.0,False,False,True,12.920343067081795,-1.5985407160322775
114.0,4.5,13.0,13.06,34.7,5.6,3.0,False,False,True,2.0442259547187995,-0.435750022004484
19.7,4.6,28.4,5.45,3.9,34.2,1.5,False,True,False,2.1988044557300075,-7.947322577825957
2.78,9.4,24.7,12.1,6.1,6.2,1.5,False,False,True,22.28939956499528,0.34689722518208393
13.2,5.3,33.1,5.86,6.9,40.3,1.5,True,False,False,4.093434562867648,-7.256288386333166
2.63,7.4,14.8,5.8,18.7,26.7,1.5,True,False,False,3.45280178844245,-6.106798510786817
114.0,4.5,13.0,17.2,34.7,5.6,1.5,True,False,False,2.227357110485849,-0.3790377254362988
5.16,7.27,36.72,2.74,8.18,69.43,1.5,False,True,False,1.5655620828183974,-3.8543051899566088
28.2,6.8,24.8,5.5,15.8,52.1,1.5,False,True,False,2.6750170090724312,-1.4888093335869554
2.78,9.4,24.7,10.28,6.1,6.2,3.0,True,False,False,19.956409196824765,1.0058983353793292
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,4.712449879571528,0.7119195451782088
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.801648436970299,-3.5246137266686275
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,12.269436497280376,0.3130440131419164
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.593229060003878,-8.176214949411701
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,3.8139628020117566,-2.9925506047353663
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.800119552073302,-1.8826040854543236
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,6.559408903713223,-2.0465890614520634
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.54783900662899,-2.055344190981916
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,17.63672550395528,2.201703228326963
10.0,8.8,31.2,4.83,7.2,31.2,3.0,False,True,False,2.022928245368127,-3.7555728999628992
2.48,7.38,14.8,3.9,18.55,26.54,3.03,False,False,True,2.8213956714190886,-3.1346319697083542
74.09,6.18,19.89,11.64,18.24,21.04,1.5,False,True,False,4.423308962761064,-2.746290675690986
12.15,7.0,28.6,4.7,1.1,52.5,3.0,True,False,False,4.756905903852031,-11.556508457866613
177.86,4.76,29.24,7.9,18.08,46.07,1.39,False,True,False,4.312996358871889,-0.852367451208326
74.6,6.6,13.0,7.9,27.8,6.6,3.0,False,True,False,3.920610692109374,-0.7731219216950358
110.0,5.3,32.0,6.41,15.5,53.1,3.0,False,False,True,1.4423747976400652,-4.763802168983856
66.7,5.6,22.2,12.0,7.0,17.7,3.0,False,True,False,6.659582511023203,-2.1551650108971425
4.08,6.8,24.6,7.85,2.5,62.6,3.0,False,True,False,14.701898111111545,1.0353266533069592
177.9,4.8,29.1,8.22,18.2,46.1,3.0,True,False,False,4.481709867091704,-6.90225466416696
49.0,6.7,23.4,8.0,14.7,35.1,3.0,False,True,False,3.2730188656294668,-5.234074857127468
431.0,5.9,12.2,4.42,40.6,7.2,3.0,False,True,False,1.9199102037233784,0.3644934475964854
28.2,6.8,24.8,1.0,15.8,52.1,3.0,False,False,True,0.07360998780202,-1.283425745517234
66.7,5.6,22.2,10.95,7.0,17.7,3.0,False,False,True,6.992784257893573,-2.32448319498705
7.56,5.46,32.2,7.09,17.85,53.71,1.5,True,False,False,7.761621210932498,2.3868621434425354
205.0,4.7,2.8,10.12,38.1,0.6,3.0,True,False,False,3.676175122666345,0.21981554328105307
10.0,8.8,31.2,10.28,7.2,31.2,3.0,False,False,True,4.1697014626487245,0.4775636081759728
111.94,4.5,13.65,4.2,16.0,17.62,1.49,True,False,False,1.776269429606213,-2.1948425731238936
3.3,7.6,37.0,1.1,8.7,70.1,3.0,True,False,False,0.6725503092897034,-4.120067143676102
21.2,4.4,34.3,8.59,3.7,63.6,3.0,False,False,True,4.853947196750127,-1.3312694973457833
2.9,9.5,21.7,5.9,34.5,9.4,3.0,True,False,False,6.5542530774941845,0.4394705756277093
59.8,4.5,30.8,5.9,4.4,51.7,1.5,False,False,True,5.738616239355347,-3.6479402837463004
386.0,4.5,3.0,7.7,32.1,2.6,1.5,False,True,False,2.975168691692419,0.2711039103629846
29.06,7.47,22.52,1.0,3.69,36.24,3.02,False,True,False,0.220287163952615,-0.16738758467045636
74.76,6.68,12.92,6.0,27.83,6.75,2.9,False,False,True,3.6037250340991056,-2.194875751628287
49.0,6.7,23.4,8.36,14.7,35.1,3.0,False,False,True,3.688596916758687,-13.138115502225782
28.13,6.77,24.82,3.6,15.74,51.95,1.6,True,False,False,2.4187863852911877,-2.164771003333991
31.9,7.1,12.4,13.75,33.5,12.8,1.5,False,False,True,4.528244019921519,-2.839652814953444
137.02,4.82,34.64,11.9,14.78,45.91,1.54,False,True,False,10.551057823133046,-3.332628503669491
114.0,4.5,13.0,16.99,34.7,5.6,1.5,True,False,False,2.1929319336013227,-0.46403578999593786
431.0,5.9,12.2,8.71,40.6,7.2,3.0,False,True,False,2.5248794503629544,1.0314823855446584
