Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
386.0,4.5,3.0,7.7,32.1,2.6,1.5,False,True,False,1.49761661436321,0.5823391780247364
29.06,7.47,22.52,1.0,3.69,36.24,3.02,False,True,False,0.9062807894616794,0.5581652718106714
74.76,6.68,12.92,6.0,27.83,6.75,2.9,False,False,True,3.412553845608256,0.5355782312532341
49.0,6.7,23.4,8.36,14.7,35.1,3.0,False,False,True,3.49058679010149,0.5496887527945693
28.13,6.77,24.82,3.6,15.74,51.95,1.6,True,False,False,2.2031583554405074,0.53075072981007
31.9,7.1,12.4,13.75,33.5,12.8,1.5,False,False,True,4.59159299121863,0.5444838248759045
137.02,4.82,34.64,11.9,14.78,45.91,1.54,False,True,False,11.97217130148424,0.7741983768543689
114.0,4.5,13.0,16.99,34.7,5.6,1.5,True,False,False,1.5629259862527762,0.5406416340474218
431.0,5.9,12.2,8.71,40.6,7.2,3.0,False,True,False,0.4451572127439941,0.5998506337049265
2.63,7.4,14.8,1.43,18.7,26.7,3.0,False,True,False,1.4312847604073016,0.5600302339420512
3.3,7.6,37.0,1.29,8.7,70.1,3.0,True,False,False,0.7216904329273333,0.5394949412830928
21.4,4.67,34.22,17.0,3.5,63.62,1.53,True,False,False,6.345667400356435,0.5114148663385175
29.8,7.3,46.4,4.9,20.9,18.6,3.0,False,False,True,1.9185021031493157,0.6244552668882128
386.0,4.5,3.0,4.72,32.1,2.6,1.5,False,True,False,0.7227577353263105,0.5206776336899906
4.89,7.5,54.4,4.26,5.7,70.4,3.0,False,True,False,4.043581840419068,0.5801969252237734
0.64,2.89,55.19,6.3,69.19,65.1,1.59,False,False,True,7.319672038283575,0.6726792323850006
33.39,7.07,12.77,2.09,33.16,13.57,1.5,True,False,False,0.4774586735105761,0.5318215996551917
28.9,7.5,22.4,10.19,3.8,36.3,1.5,False,False,True,5.089087585832292,0.5525335058614014
6.84,7.3,37.6,8.22,2.0,44.9,3.0,True,False,False,5.037293491498505,0.6564002982511116
114.21,4.56,13.16,4.1,34.96,5.67,3.02,True,False,False,0.9037081628209178,0.5947671544764057
12.7,4.2,34.5,6.0,26.6,71.2,1.5,False,True,False,9.410374773341855,0.6432791506677223
17.7,7.6,25.7,1.5,2.6,46.1,1.5,False,False,True,0.2233933598736404,0.5687141009786902
12.73,4.16,34.51,2.2,26.56,71.25,1.53,False,True,False,4.442805951823788,0.6160476721707676
20.49,7.48,17.85,17.5,10.74,26.01,3.13,False,True,False,4.739361438866661,0.9772318530351067
137.0,4.7,34.8,2.9,14.9,45.8,1.5,True,False,False,4.08807907816701,0.5527828362985211
11.4,7.3,28.4,11.16,16.6,20.3,3.0,False,False,True,3.438839201455412,0.7592988284885686
82.9,4.4,22.2,6.73,12.0,26.5,1.5,False,True,False,4.522473764747861,0.6541940488340556
252.48,6.37,19.29,8.56,25.35,19.42,3.0,True,False,False,3.7050372182543274,0.5212279271815031
28.14,6.89,24.79,11.5,15.67,52.23,2.89,False,True,False,4.721025750059136,0.5790742486789178
0.6,3.1,55.4,8.0,68.9,65.0,3.0,False,False,True,10.076999284184676,0.5057499254644071
7.12,4.2,57.8,8.28,22.4,29.8,1.5,True,False,False,21.01925353085324,0.9604845616561319
49.0,6.7,23.4,8.67,14.7,35.1,1.5,False,True,False,3.509564671523916,0.5223762116992209
59.8,4.5,30.8,3.91,4.4,51.7,3.0,True,False,False,3.9300039179342687,0.5498349670659508
109.98,5.11,32.06,7.8,15.61,53.05,2.93,False,False,True,1.826026049445373,0.5463728590255988
74.6,6.6,13.0,6.1,27.8,6.6,3.0,False,False,True,3.2427389737008765,0.5392344308920352
74.64,6.47,12.94,12.0,27.75,6.69,3.07,False,False,True,4.871376912744123,0.5452203261464148
2.68,9.37,24.72,1.7,6.23,6.23,1.23,True,False,False,6.315130544106404,0.8256159201887516
431.0,5.9,12.2,5.13,40.6,7.2,1.5,True,False,False,0.7328177652931712,0.5042954529986349
49.0,6.7,23.4,3.19,14.7,35.1,3.0,False,False,True,1.675880782699964,0.5010298028688723
5.7,3.7,42.6,4.56,1.9,87.8,1.5,False,False,True,3.3317298854376984,0.507931805901574
12.75,8.49,20.33,4.44,28.37,10.77,1.5,False,False,True,4.26493087384902,0.8354930383275927
85.0,4.9,29.4,3.46,5.4,1.2,1.5,True,False,False,2.0816705483528133,0.6788145861484126
9.7,6.0,33.0,2.0,2.3,47.1,3.0,True,False,False,2.3361654772025267,0.5339888697802126
51.5,4.9,28.4,6.34,9.6,22.3,1.5,False,True,False,5.172323127756506,0.5689765864421477
8.0,6.8,72.8,10.08,34.0,46.2,3.0,False,False,True,10.737132871831353,0.5381425335873077
17.8,7.2,25.8,1.0,9.5,36.0,1.5,True,False,False,0.3482038522020982,0.5129461427087609
