Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),Air pore space (%),Clay %,exposure time,Iron and Steel Type,Pipe Diameter (inches),Loss Oz/ft2
4.89,7.5,54.4,5.7,70.4,4,Bessemer Steel,1.5,3.2
4.89,7.5,54.4,5.7,70.4,5.9,Bessemer Steel,1.5,5.4
4.89,7.5,54.4,5.7,70.4,8,Bessemer Steel,1.5,5.5
4.89,7.5,54.4,5.7,70.4,12,Bessemer Steel,1.5,7.8
4.89,7.5,54.4,5.7,70.4,17.6,Bessemer Steel,1.5,10.4
82.9,4.4,22.2,12,26.5,2,Bessemer Steel,1.5,2.1
82.9,4.4,22.2,12,26.5,4,Bessemer Steel,1.5,3
82.9,4.4,22.2,12,26.5,6,Bessemer Steel,1.5,4.3
82.9,4.4,22.2,12,26.5,7.9,Bessemer Steel,1.5,4.5
82.9,4.4,22.2,12,26.5,10,Bessemer Steel,1.5,6.2
82.9,4.4,22.2,12,26.5,12,Bessemer Steel,1.5,7.3
59.8,4.5,30.8,4.4,51.7,1.2,Bessemer Steel,1.5,1.4
59.8,4.5,30.8,4.4,51.7,3.8,Bessemer Steel,1.5,3.2
59.8,4.5,30.8,4.4,51.7,5.9,Bessemer Steel,1.5,5.2
59.8,4.5,30.8,4.4,51.7,7.7,Bessemer Steel,1.5,6.6
59.8,4.5,30.8,4.4,51.7,11.8,Bessemer Steel,1.5,9
59.8,4.5,30.8,4.4,51.7,17,Bessemer Steel,1.5,9.2
11.4,7.3,28.4,16.6,20.3,1.2,Bessemer Steel,1.5,0.6
11.4,7.3,28.4,16.6,20.3,3.8,Bessemer Steel,1.5,1.6
11.4,7.3,28.4,16.6,20.3,5.6,Bessemer Steel,1.5,2.6
11.4,7.3,28.4,16.6,20.3,7.7,Bessemer Steel,1.5,3
11.4,7.3,28.4,16.6,20.3,9.8,Bessemer Steel,1.5,3.3
11.4,7.3,28.4,16.6,20.3,11.7,Bessemer Steel,1.5,3.6
19.7,4.6,28.4,3.9,34.2,1.1,Bessemer Steel,1.5,0.7
19.7,4.6,28.4,3.9,34.2,3.7,Bessemer Steel,1.5,2.2
19.7,4.6,28.4,3.9,34.2,5.7,Bessemer Steel,1.5,2.3
19.7,4.6,28.4,3.9,34.2,7.6,Bessemer Steel,1.5,2.8
19.7,4.6,28.4,3.9,34.2,9.7,Bessemer Steel,1.5,2.9
19.7,4.6,28.4,3.9,34.2,11.6,Bessemer Steel,1.5,3.1
28.9,7.5,22.4,3.8,36.3,1,Bessemer Steel,1.5,1
28.9,7.5,22.4,3.8,36.3,3.6,Bessemer Steel,1.5,2.3
28.9,7.5,22.4,3.8,36.3,5.5,Bessemer Steel,1.5,2.3
28.9,7.5,22.4,3.8,36.3,7.7,Bessemer Steel,1.5,2.5
28.9,7.5,22.4,3.8,36.3,9.6,Bessemer Steel,1.5,4.1
28.9,7.5,22.4,3.8,36.3,11.6,Bessemer Steel,1.5,6
23.7,6.2,31.2,10.8,30.9,1.5,Bessemer Steel,1.5,2.1
23.7,6.2,31.2,10.8,30.9,4,Bessemer Steel,1.5,2.4
23.7,6.2,31.2,10.8,30.9,6,Bessemer Steel,1.5,4.7
51.5,4.9,28.4,9.6,22.3,1.7,Bessemer Steel,1.5,1.9
51.5,4.9,28.4,9.6,22.3,3.7,Bessemer Steel,1.5,3.7
51.5,4.9,28.4,9.6,22.3,5.6,Bessemer Steel,1.5,5.4
51.5,4.9,28.4,9.6,22.3,7.6,Bessemer Steel,1.5,5.8
51.5,4.9,28.4,9.6,22.3,9.6,Bessemer Steel,1.5,6.1
51.5,4.9,28.4,9.6,22.3,11.6,Bessemer Steel,1.5,7.4
2.78,9.4,24.7,6.1,6.2,1.9,Bessemer Steel,1.5,7.8
2.78,9.4,24.7,6.1,6.2,4.3,Bessemer Steel,1.5,1.05
2.78,9.4,24.7,6.1,6.2,6.2,Bessemer Steel,1.5,15.7
2.78,9.4,24.7,6.1,6.2,8,Bessemer Steel,1.5,18.6
2.78,9.4,24.7,6.1,6.2,10.2,Bessemer Steel,1.5,18.9
2.78,9.4,24.7,6.1,6.2,12.1,Bessemer Steel,1.5,20.4
114,4.5,13,34.7,5.6,1.3,Bessemer Steel,1.5,0.3
114,4.5,13,34.7,5.6,4,Bessemer Steel,1.5,0.4
114,4.5,13,34.7,5.6,6.1,Bessemer Steel,1.5,0.8
114,4.5,13,34.7,5.6,7.9,Bessemer Steel,1.5,0.8
114,4.5,13,34.7,5.6,12,Bessemer Steel,1.5,1.4
114,4.5,13,34.7,5.6,17.2,Bessemer Steel,1.5,1.4
17.8,7.2,25.8,9.5,36,1,Bessemer Steel,1.5,0.4
17.8,7.2,25.8,9.5,36,3.7,Bessemer Steel,1.5,1.4
17.8,7.2,25.8,9.5,36,5.7,Bessemer Steel,1.5,1.9
17.8,7.2,25.8,9.5,36,7.6,Bessemer Steel,1.5,2
17.8,7.2,25.8,9.5,36,11.7,Bessemer Steel,1.5,2.9
17.8,7.2,25.8,9.5,36,17,Bessemer Steel,1.5,3.1
29.8,7.3,46.4,20.9,18.6,1,Bessemer Steel,1.5,0.8
29.8,7.3,46.4,20.9,18.6,3.5,Bessemer Steel,1.5,1.8
29.8,7.3,46.4,20.9,18.6,5.5,Bessemer Steel,1.5,1.5
29.8,7.3,46.4,20.9,18.6,7.7,Bessemer Steel,1.5,1.6
29.8,7.3,46.4,20.9,18.6,11.5,Bessemer Steel,1.5,3.5
29.8,7.3,46.4,20.9,18.6,16.9,Bessemer Steel,1.5,4.1
5.7,3.7,42.6,1.9,87.8,2,Bessemer Steel,1.5,0.5
5.7,3.7,42.6,1.9,87.8,4,Bessemer Steel,1.5,2.6
5.7,3.7,42.6,1.9,87.8,6,Bessemer Steel,1.5,3
5.7,3.7,42.6,1.9,87.8,8,Bessemer Steel,1.5,5.4
5.7,3.7,42.6,1.9,87.8,12,Bessemer Steel,1.5,7.6
5.7,3.7,42.6,1.9,87.8,17.6,Bessemer Steel,1.5,9.3
4.08,6.8,24.6,2.5,62.6,1.6,Bessemer Steel,1.5,3
4.08,6.8,24.6,2.5,62.6,5.6,Bessemer Steel,1.5,10.6
4.08,6.8,24.6,2.5,62.6,7.7,Bessemer Steel,1.5,15.1
4.08,6.8,24.6,2.5,62.6,9,Bessemer Steel,1.5,16.8
12.7,4.2,34.5,26.6,71.2,2,Bessemer Steel,1.5,1.4
12.7,4.2,34.5,26.6,71.2,4.1,Bessemer Steel,1.5,6.8
12.7,4.2,34.5,26.6,71.2,6,Bessemer Steel,1.5,9.9
12.7,4.2,34.5,26.6,71.2,8,Bessemer Steel,1.5,11
12.7,4.2,34.5,26.6,71.2,10,Bessemer Steel,1.5,14
12.7,4.2,34.5,26.6,71.2,12,Bessemer Steel,1.5,19.4
1.3,7,29.4,7.2,32.4,1.1,Bessemer Steel,1.5,0.9
1.3,7,29.4,7.2,32.4,3.6,Bessemer Steel,1.5,1.2
1.3,7,29.4,7.2,32.4,5.7,Bessemer Steel,1.5,2
1.3,7,29.4,7.2,32.4,8.2,Bessemer Steel,1.5,4.2
1.3,7,29.4,7.2,32.4,11.6,Bessemer Steel,1.5,5.3
1.3,7,29.4,7.2,32.4,17,Bessemer Steel,1.5,5.4
205,4.7,2.8,38.1,0.6,2,Bessemer Steel,1.5,1.5
205,4.7,2.8,38.1,0.6,4.1,Bessemer Steel,1.5,2.2
205,4.7,2.8,38.1,0.6,6,Bessemer Steel,1.5,1.9
205,4.7,2.8,38.1,0.6,8,Bessemer Steel,1.5,2.8
205,4.7,2.8,38.1,0.6,12,Bessemer Steel,1.5,2.7
205,4.7,2.8,38.1,0.6,17.7,Bessemer Steel,1.5,4.4
57,7.3,17.8,11.7,15.8,1,Bessemer Steel,1.5,0.4
57,7.3,17.8,11.7,15.8,3.7,Bessemer Steel,1.5,1.4
57,7.3,17.8,11.7,15.8,5.8,Bessemer Steel,1.5,1.8
57,7.3,17.8,11.7,15.8,7.6,Bessemer Steel,1.5,2.3
57,7.3,17.8,11.7,15.8,9.6,Bessemer Steel,1.5,2.5
57,7.3,17.8,11.7,15.8,11.7,Bessemer Steel,1.5,3.7
8,6.8,72.8,34,46.2,1,Bessemer Steel,1.5,0.5
8,6.8,72.8,34,46.2,3.7,Bessemer Steel,1.5,3.5
8,6.8,72.8,34,46.2,5.8,Bessemer Steel,1.5,5.6
8,6.8,72.8,34,46.2,7.6,Bessemer Steel,1.5,8.8
8,6.8,72.8,34,46.2,9.7,Bessemer Steel,1.5,9.8
8,6.8,72.8,34,46.2,11.7,Bessemer Steel,1.5,14.2
49,6.7,23.4,14.7,35.1,1.4,Bessemer Steel,1.5,1.1
49,6.7,23.4,14.7,35.1,4,Bessemer Steel,1.5,1.9
49,6.7,23.4,14.7,35.1,6.1,Bessemer Steel,1.5,2.7
49,6.7,23.4,14.7,35.1,8,Bessemer Steel,1.5,3.5
49,6.7,23.4,14.7,35.1,9.9,Bessemer Steel,1.5,4.1
49,6.7,23.4,14.7,35.1,12,Bessemer Steel,1.5,3.2
