Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),Air pore space (%),Clay %,exposure time,Iron and Steel Type,Pipe Diameter (inches),Loss Oz/ft2
137,4.7,34.8,14.9,45.8,12,Open Hearth iron,3,11.2
0.6,3.1,55.4,68.9,65,1.3,Open Hearth iron,3,2.2
0.6,3.1,55.4,68.9,65,4.1,Open Hearth iron,3,5.2
0.6,3.1,55.4,68.9,65,6.2,Open Hearth iron,3,6.2
0.6,3.1,55.4,68.9,65,8,Open Hearth iron,3,10.8
0.6,3.1,55.4,68.9,65,9.9,Open Hearth iron,3,11.2
0.6,3.1,55.4,68.9,65,12,Open Hearth iron,3,12.7
10,8.8,31.2,7.2,31.2,1.1,Open Hearth iron,3,0.3
10,8.8,31.2,7.2,31.2,3.6,Open Hearth iron,3,1.4
10,8.8,31.2,7.2,31.2,5.7,Open Hearth iron,3,2.2
10,8.8,31.2,7.2,31.2,7.6,Open Hearth iron,3,2.1
10,8.8,31.2,7.2,31.2,11.6,Open Hearth iron,3,2.8
2.63,7.4,14.8,18.7,26.7,1.2,Open Hearth iron,3,1
2.63,7.4,14.8,18.7,26.7,3.8,Open Hearth iron,3,3.2
2.63,7.4,14.8,18.7,26.7,5.8,Open Hearth iron,3,3.1
2.63,7.4,14.8,18.7,26.7,7.7,Open Hearth iron,3,3.9
2.63,7.4,14.8,18.7,26.7,9.8,Open Hearth iron,3,13.1
2.63,7.4,14.8,18.7,26.7,11.7,Open Hearth iron,3,11.3
15,7,7.6,23.2,30.9,1.5,Open Hearth iron,3,1.1
15,7,7.6,23.2,30.9,4,Open Hearth iron,3,2.6
15,7,7.6,23.2,30.9,5.1,Open Hearth iron,3,3
15,7,7.6,23.2,30.9,8,Open Hearth iron,3,3.6
15,7,7.6,23.2,30.9,10.2,Open Hearth iron,3,4.3
15,7,7.6,23.2,30.9,12,Open Hearth iron,3,5.9
17.7,7.6,25.7,2.6,46.1,1.5,Open Hearth iron,3,0.6
17.7,7.6,25.7,2.6,46.1,4.1,Open Hearth iron,3,1.3
17.7,7.6,25.7,2.6,46.1,6.1,Open Hearth iron,3,1.6
17.7,7.6,25.7,2.6,46.1,8,Open Hearth iron,3,2.1
17.7,7.6,25.7,2.6,46.1,12.1,Open Hearth iron,3,3
17.7,7.6,25.7,2.6,46.1,17.1,Open Hearth iron,3,6.5
12.15,7,28.6,1.1,52.5,1,Bessemer Steel,3,1.3
12.15,7,28.6,1.1,52.5,3.6,Bessemer Steel,3,4.3
12.15,7,28.6,1.1,52.5,5.5,Bessemer Steel,3,5.1
12.15,7,28.6,1.1,52.5,7.7,Bessemer Steel,3,7.4
12.15,7,28.6,1.1,52.5,9.6,Bessemer Steel,3,8.9
12.15,7,28.6,1.1,52.5,11.6,Bessemer Steel,3,11.6
6.84,7.3,37.6,2,44.9,2.1,Bessemer Steel,3,2.2
6.84,7.3,37.6,2,44.9,4,Bessemer Steel,3,3.1
6.84,7.3,37.6,2,44.9,5.9,Bessemer Steel,3,3.9
6.84,7.3,37.6,2,44.9,7.9,Bessemer Steel,3,4.2
6.84,7.3,37.6,2,44.9,12,Bessemer Steel,3,6.6
6.84,7.3,37.6,2,44.9,17.6,Bessemer Steel,3,7.1
177.9,4.8,29.1,18.2,46.1,2,Bessemer Steel,3,2.1
177.9,4.8,29.1,18.2,46.1,4,Bessemer Steel,3,3.6
177.9,4.8,29.1,18.2,46.1,5.9,Bessemer Steel,3,3.6
177.9,4.8,29.1,18.2,46.1,7.9,Bessemer Steel,3,4.5
177.9,4.8,29.1,18.2,46.1,12,Bessemer Steel,3,3.8
177.9,4.8,29.1,18.2,46.1,17.6,Bessemer Steel,3,4.3
66.7,5.6,22.2,7,17.7,1.1,Bessemer Steel,3,1.4
66.7,5.6,22.2,7,17.7,4,Bessemer Steel,3,3.5
66.7,5.6,22.2,7,17.7,6.1,Bessemer Steel,3,4.4
66.7,5.6,22.2,7,17.7,8,Bessemer Steel,3,5.4
66.7,5.6,22.2,7,17.7,12,Bessemer Steel,3,6.9
13.15,7,28.8,4.9,35.8,1.9,Bessemer Steel,3,0.9
13.15,7,28.8,4.9,35.8,4.1,Bessemer Steel,3,2.2
13.15,7,28.8,4.9,35.8,6.2,Bessemer Steel,3,4.8
13.15,7,28.8,4.9,35.8,8.1,Bessemer Steel,3,5.8
13.15,7,28.8,4.9,35.8,12.1,Bessemer Steel,3,7.3
13.15,7,28.8,4.9,35.8,17.5,Bessemer Steel,3,8.6
431,5.9,12.2,40.6,7.2,1.9,Bessemer Steel,3,0.2
431,5.9,12.2,40.6,7.2,4.1,Bessemer Steel,3,0.5
431,5.9,12.2,40.6,7.2,6.2,Bessemer Steel,3,0.9
431,5.9,12.2,40.6,7.2,8.1,Bessemer Steel,3,0.9
431,5.9,12.2,40.6,7.2,12.1,Bessemer Steel,3,1.5
431,5.9,12.2,40.6,7.2,17.5,Bessemer Steel,3,1.9
21.2,4.4,34.3,3.7,63.6,1,Bessemer Steel,3,0.7
21.2,4.4,34.3,3.7,63.6,3.5,Bessemer Steel,3,2.5
21.2,4.4,34.3,3.7,63.6,7.7,Bessemer Steel,3,4.2
21.2,4.4,34.3,3.7,63.6,11.5,Bessemer Steel,3,5.6
21.2,4.4,34.3,3.7,63.6,16.9,Bessemer Steel,3,5.1
3.3,7.6,37,8.7,70.1,1.1,Bessemer Steel,3,0.8
3.3,7.6,37,8.7,70.1,3.8,Bessemer Steel,3,1.9
3.3,7.6,37,8.7,70.1,5.8,Bessemer Steel,3,3.3
3.3,7.6,37,8.7,70.1,7.7,Bessemer Steel,3,4.2
3.3,7.6,37,8.7,70.1,9.9,Bessemer Steel,3,5.6
3.3,7.6,37,8.7,70.1,11.8,Bessemer Steel,3,8.3
28.2,6.8,24.8,15.8,52.1,1,Bessemer Steel,3,0.6
28.2,6.8,24.8,15.8,52.1,3.5,Bessemer Steel,3,1.9
28.2,6.8,24.8,15.8,52.1,5.5,Bessemer Steel,3,2.7
28.2,6.8,24.8,15.8,52.1,7.7,Bessemer Steel,3,3.2
28.2,6.8,24.8,15.8,52.1,11.5,Bessemer Steel,3,4.6
28.2,6.8,24.8,15.8,52.1,16.9,Bessemer Steel,3,5.1
74.6,6.6,13,27.8,6.6,1.3,Bessemer Steel,3,1.4
74.6,6.6,13,27.8,6.6,4,Bessemer Steel,3,2.6
74.6,6.6,13,27.8,6.6,6.1,Bessemer Steel,3,3.4
74.6,6.6,13,27.8,6.6,7.9,Bessemer Steel,3,4.6
74.6,6.6,13,27.8,6.6,12,Bessemer Steel,3,4.9
110,5.3,32,15.5,53.1,1.4,Bessemer Steel,3,0.4
110,5.3,32,15.5,53.1,4,Bessemer Steel,3,1
110,5.3,32,15.5,53.1,6,Bessemer Steel,3,1.3
110,5.3,32,15.5,53.1,7.8,Bessemer Steel,3,1.6
110,5.3,32,15.5,53.1,10,Bessemer Steel,3,1.6
110,5.3,32,15.5,53.1,11.9,Bessemer Steel,3,1.7
31.9,7.1,12.4,33.5,12.8,1.9,Bessemer Steel,3,0.3
31.9,7.1,12.4,33.5,12.8,4.1,Bessemer Steel,3,1.3
31.9,7.1,12.4,33.5,12.8,6.2,Bessemer Steel,3,2.7
31.9,7.1,12.4,33.5,12.8,8,Bessemer Steel,3,0.8
31.9,7.1,12.4,33.5,12.8,12.1,Bessemer Steel,3,3.6
31.9,7.1,12.4,33.5,12.8,17.5,Bessemer Steel,3,5.3
2.9,9.5,21.7,34.5,9.4,1.9,Bessemer Steel,3,3.3
2.9,9.5,21.7,34.5,9.4,4.2,Bessemer Steel,3,4.4
2.9,9.5,21.7,34.5,9.4,5.9,Bessemer Steel,3,7.8
35.2,6.2,17.2,14.4,13.9,1.1,Bessemer Steel,3,0.4
35.2,6.2,17.2,14.4,13.9,3.8,Bessemer Steel,3,2.2
35.2,6.2,17.2,14.4,13.9,5.8,Bessemer Steel,3,3.1
35.2,6.2,17.2,14.4,13.9,7.7,Bessemer Steel,3,3.3
35.2,6.2,17.2,14.4,13.9,9.9,Bessemer Steel,3,4.6
35.2,6.2,17.2,14.4,13.9,11.8,Bessemer Steel,3,4.6
4.89,7.5,54.4,5.7,70.4,2,Bessemer Steel,3,2.7
4.89,7.5,54.4,5.7,70.4,4,Bessemer Steel,3,3.8
4.89,7.5,54.4,5.7,70.4,5.9,Bessemer Steel,3,5.2
4.89,7.5,54.4,5.7,70.4,8,Bessemer Steel,3,5.1
4.89,7.5,54.4,5.7,70.4,12,Bessemer Steel,3,8.1
4.89,7.5,54.4,5.7,70.4,17.6,Bessemer Steel,3,11.2
82.9,4.4,22.2,12,26.5,2,Bessemer Steel,3,2.6
82.9,4.4,22.2,12,26.5,4,Bessemer Steel,3,3.3
82.9,4.4,22.2,12,26.5,6,Bessemer Steel,3,5
82.9,4.4,22.2,12,26.5,7.9,Bessemer Steel,3,4.5
82.9,4.4,22.2,12,26.5,10,Bessemer Steel,3,6.9
82.9,4.4,22.2,12,26.5,12,Bessemer Steel,3,7.5
59.8,4.5,30.8,4.4,51.7,1.2,Bessemer Steel,3,1.6
59.8,4.5,30.8,4.4,51.7,3.8,Bessemer Steel,3,3.6
59.8,4.5,30.8,4.4,51.7,5.9,Bessemer Steel,3,6
59.8,4.5,30.8,4.4,51.7,7.7,Bessemer Steel,3,7.4
59.8,4.5,30.8,4.4,51.7,11.8,Bessemer Steel,3,9.6
59.8,4.5,30.8,4.4,51.7,17,Bessemer Steel,3,9.5
11.4,7.3,28.4,16.6,20.3,1.2,Bessemer Steel,3,0.5
11.4,7.3,28.4,16.6,20.3,3.8,Bessemer Steel,3,1.2
11.4,7.3,28.4,16.6,20.3,5.6,Bessemer Steel,3,3.2
11.4,7.3,28.4,16.6,20.3,7.7,Bessemer Steel,3,2.3
11.4,7.3,28.4,16.6,20.3,9.8,Bessemer Steel,3,3.1
11.4,7.3,28.4,16.6,20.3,11.7,Bessemer Steel,3,2.4
19.7,4.6,28.4,3.9,34.2,1.1,Bessemer Steel,3,0.8
19.7,4.6,28.4,3.9,34.2,3.7,Bessemer Steel,3,1.8
19.7,4.6,28.4,3.9,34.2,5.7,Bessemer Steel,3,2
19.7,4.6,28.4,3.9,34.2,7.6,Bessemer Steel,3,3
19.7,4.6,28.4,3.9,34.2,9.7,Bessemer Steel,3,3.1
19.7,4.6,28.4,3.9,34.2,11.6,Bessemer Steel,3,3.3
28.9,7.5,22.4,3.8,36.3,1,Bessemer Steel,3,0.9
28.9,7.5,22.4,3.8,36.3,3.6,Bessemer Steel,3,2.1
28.9,7.5,22.4,3.8,36.3,5.5,Bessemer Steel,3,2.8
28.9,7.5,22.4,3.8,36.3,7.7,Bessemer Steel,3,3.5
28.9,7.5,22.4,3.8,36.3,9.6,Bessemer Steel,3,4.8
28.9,7.5,22.4,3.8,36.3,11.6,Bessemer Steel,3,6
23.7,6.2,31.2,10.8,30.9,1.5,Bessemer Steel,3,2
23.7,6.2,31.2,10.8,30.9,4,Bessemer Steel,3,2.9
23.7,6.2,31.2,10.8,30.9,6,Bessemer Steel,3,4.6
51.5,4.9,28.4,9.6,22.3,1.7,Bessemer Steel,3,1.4
51.5,4.9,28.4,9.6,22.3,3.7,Bessemer Steel,3,3.5
51.5,4.9,28.4,9.6,22.3,5.6,Bessemer Steel,3,4.5
51.5,4.9,28.4,9.6,22.3,7.6,Bessemer Steel,3,7.8
51.5,4.9,28.4,9.6,22.3,9.6,Bessemer Steel,3,7.5
51.5,4.9,28.4,9.6,22.3,11.6,Bessemer Steel,3,7.8
2.78,9.4,24.7,6.1,6.2,1.9,Bessemer Steel,3,6.7
2.78,9.4,24.7,6.1,6.2,4.3,Bessemer Steel,3,12
2.78,9.4,24.7,6.1,6.2,6.2,Bessemer Steel,3,13.8
2.78,9.4,24.7,6.1,6.2,8,Bessemer Steel,3,19.2
2.78,9.4,24.7,6.1,6.2,10.2,Bessemer Steel,3,21.7
2.78,9.4,24.7,6.1,6.2,12.1,Bessemer Steel,3,19.6
114,4.5,13,34.7,5.6,1.3,Bessemer Steel,3,0.3
114,4.5,13,34.7,5.6,4,Bessemer Steel,3,0.4
114,4.5,13,34.7,5.6,6.1,Bessemer Steel,3,1.1
114,4.5,13,34.7,5.6,7.9,Bessemer Steel,3,1
114,4.5,13,34.7,5.6,12,Bessemer Steel,3,1.4
114,4.5,13,34.7,5.6,17.2,Bessemer Steel,3,1.6
17.8,7.2,25.8,9.5,36,1,Bessemer Steel,3,0.4
17.8,7.2,25.8,9.5,36,3.7,Bessemer Steel,3,1.4
17.8,7.2,25.8,9.5,36,5.7,Bessemer Steel,3,1.7
17.8,7.2,25.8,9.5,36,7.6,Bessemer Steel,3,1.8
17.8,7.2,25.8,9.5,36,11.7,Bessemer Steel,3,3.3
17.8,7.2,25.8,9.5,36,17,Bessemer Steel,3,2.7
29.8,7.3,46.4,20.9,18.6,1,Bessemer Steel,3,0.9
29.8,7.3,46.4,20.9,18.6,3.5,Bessemer Steel,3,2.2
29.8,7.3,46.4,20.9,18.6,5.5,Bessemer Steel,3,1.4
29.8,7.3,46.4,20.9,18.6,7.7,Bessemer Steel,3,1.6
29.8,7.3,46.4,20.9,18.6,11.5,Bessemer Steel,3,3.8
29.8,7.3,46.4,20.9,18.6,16.9,Bessemer Steel,3,4.8
5.7,3.7,42.6,1.9,87.8,2,Bessemer Steel,3,0.6
5.7,3.7,42.6,1.9,87.8,4,Bessemer Steel,3,3.3
5.7,3.7,42.6,1.9,87.8,6,Bessemer Steel,3,3
5.7,3.7,42.6,1.9,87.8,8,Bessemer Steel,3,3.9
5.7,3.7,42.6,1.9,87.8,12,Bessemer Steel,3,8.2
5.7,3.7,42.6,1.9,87.8,17.6,Bessemer Steel,3,8.9
4.08,6.8,24.6,2.5,62.6,1.6,Bessemer Steel,3,2.9
4.08,6.8,24.6,2.5,62.6,5.6,Bessemer Steel,3,10.5
4.08,6.8,24.6,2.5,62.6,7.7,Bessemer Steel,3,13.2
4.08,6.8,24.6,2.5,62.6,9,Bessemer Steel,3,15.5
12.7,4.2,34.5,26.6,71.2,2,Bessemer Steel,3,4.1
12.7,4.2,34.5,26.6,71.2,4.1,Bessemer Steel,3,6.9
12.7,4.2,34.5,26.6,71.2,6,Bessemer Steel,3,8.9
12.7,4.2,34.5,26.6,71.2,8,Bessemer Steel,3,11
12.7,4.2,34.5,26.6,71.2,10,Bessemer Steel,3,14.8
12.7,4.2,34.5,26.6,71.2,12,Bessemer Steel,3,14.8
1.3,7,29.4,7.2,32.4,1.1,Bessemer Steel,3,1.1
1.3,7,29.4,7.2,32.4,3.6,Bessemer Steel,3,1.4
1.3,7,29.4,7.2,32.4,5.7,Bessemer Steel,3,2.5
1.3,7,29.4,7.2,32.4,8.2,Bessemer Steel,3,4.4
1.3,7,29.4,7.2,32.4,11.6,Bessemer Steel,3,5.6
1.3,7,29.4,7.2,32.4,17,Bessemer Steel,3,6.9
205,4.7,2.8,38.1,0.6,2,Bessemer Steel,3,1.3
205,4.7,2.8,38.1,0.6,4.1,Bessemer Steel,3,2.1
205,4.7,2.8,38.1,0.6,6,Bessemer Steel,3,2.3
205,4.7,2.8,38.1,0.6,8,Bessemer Steel,3,2.3
205,4.7,2.8,38.1,0.6,12,Bessemer Steel,3,2.8
205,4.7,2.8,38.1,0.6,17.7,Bessemer Steel,3,4.1
57,7.3,17.8,11.7,15.8,1,Bessemer Steel,3,0.4
57,7.3,17.8,11.7,15.8,3.7,Bessemer Steel,3,1.3
57,7.3,17.8,11.7,15.8,5.8,Bessemer Steel,3,2.6
57,7.3,17.8,11.7,15.8,7.6,Bessemer Steel,3,2.3
57,7.3,17.8,11.7,15.8,9.6,Bessemer Steel,3,2.8
57,7.3,17.8,11.7,15.8,11.7,Bessemer Steel,3,4.2
8,6.8,72.8,34,46.2,1,Bessemer Steel,3,0.4
8,6.8,72.8,34,46.2,3.7,Bessemer Steel,3,3.6
8,6.8,72.8,34,46.2,5.8,Bessemer Steel,3,4.8
8,6.8,72.8,34,46.2,7.6,Bessemer Steel,3,8.9
8,6.8,72.8,34,46.2,9.7,Bessemer Steel,3,11.4
8,6.8,72.8,34,46.2,11.7,Bessemer Steel,3,12.8
49,6.7,23.4,14.7,35.1,1.4,Bessemer Steel,3,1.4
49,6.7,23.4,14.7,35.1,4,Bessemer Steel,3,1.8
49,6.7,23.4,14.7,35.1,6.1,Bessemer Steel,3,2.8
49,6.7,23.4,14.7,35.1,8,Bessemer Steel,3,3.3
49,6.7,23.4,14.7,35.1,9.9,Bessemer Steel,3,4.3
49,6.7,23.4,14.7,35.1,12,Bessemer Steel,3,5.3
20.6,7.3,18,10.9,26,1.9,Bessemer Steel,3,1.1
20.6,7.3,18,10.9,26,4.1,Bessemer Steel,3,1.9
20.6,7.3,18,10.9,26,6.2,Bessemer Steel,3,1
20.6,7.3,18,10.9,26,8,Bessemer Steel,3,2.1
20.6,7.3,18,10.9,26,12.1,Bessemer Steel,3,2.5
20.6,7.3,18,10.9,26,17.5,Bessemer Steel,3,3.2
112,4.5,13.8,16,17.6,2,Bessemer Steel,3,1
112,4.5,13.8,16,17.6,4.1,Bessemer Steel,3,1.6
112,4.5,13.8,16,17.6,6,Bessemer Steel,3,1.4
112,4.5,13.8,16,17.6,8,Bessemer Steel,3,2.1
112,4.5,13.8,16,17.6,12,Bessemer Steel,3,2.4
112,4.5,13.8,16,17.6,17.7,Bessemer Steel,3,2.6
112,3.8,7,3.5,4.5,2,Bessemer Steel,3,2.5
112,3.8,7,3.5,4.5,4.1,Bessemer Steel,3,4.5
112,3.8,7,3.5,4.5,6,Bessemer Steel,3,4.1
112,3.8,7,3.5,4.5,8,Bessemer Steel,3,5.8
112,3.8,7,3.5,4.5,10.1,Bessemer Steel,3,8.5
112,3.8,7,3.5,4.5,12,Bessemer Steel,3,9
386,4.5,3,32.1,2.6,1.4,Bessemer Steel,3,0.3
386,4.5,3,32.1,2.6,4,Bessemer Steel,3,0.6
386,4.5,3,32.1,2.6,6.1,Bessemer Steel,3,1.2
386,4.5,3,32.1,2.6,8,Bessemer Steel,3,2.2
386,4.5,3,32.1,2.6,12,Bessemer Steel,3,2.2
386,4.5,3,32.1,2.6,17.2,Bessemer Steel,3,2.8
74.4,5.6,24.2,7.5,15.3,1.4,Bessemer Steel,3,1.2
74.4,5.6,24.2,7.5,15.3,4,Bessemer Steel,3,3.2
74.4,5.6,24.2,7.5,15.3,6.1,Bessemer Steel,3,3.2
74.4,5.6,24.2,7.5,15.3,8,Bessemer Steel,3,4.9
74.4,5.6,24.2,7.5,15.3,9.9,Bessemer Steel,3,4.7
74.4,5.6,24.2,7.5,15.3,12,Bessemer Steel,3,6.4
9.7,6,33,2.3,47.1,2,Bessemer Steel,3,2.2
9.7,6,33,2.3,47.1,4.1,Bessemer Steel,3,4.6
9.7,6,33,2.3,47.1,6,Bessemer Steel,3,6.1
9.7,6,33,2.3,47.1,8,Bessemer Steel,3,8.2
9.7,6,33,2.3,47.1,10,Bessemer Steel,3,9.3
9.7,6,33,2.3,47.1,12,Bessemer Steel,3,7
13.2,5.3,33.1,6.9,40.3,1.5,Bessemer Steel,3,0.4
13.2,5.3,33.1,6.9,40.3,4,Bessemer Steel,3,2.4
13.2,5.3,33.1,6.9,40.3,6,Bessemer Steel,3,4.1
13.2,5.3,33.1,6.9,40.3,7.9,Bessemer Steel,3,4.6
13.2,5.3,33.1,6.9,40.3,12,Bessemer Steel,3,6
13.2,5.3,33.1,6.9,40.3,17.4,Bessemer Steel,3,7
137,4.7,34.8,14.9,45.8,2,Bessemer Steel,3,2.9
137,4.7,34.8,14.9,45.8,4.1,Bessemer Steel,3,5.1
137,4.7,34.8,14.9,45.8,6,Bessemer Steel,3,6.2
137,4.7,34.8,14.9,45.8,8,Bessemer Steel,3,6.7
137,4.7,34.8,14.9,45.8,10.1,Bessemer Steel,3,9.3
137,4.7,34.8,14.9,45.8,12,Bessemer Steel,3,11
0.6,3.1,55.4,68.9,65,1.3,Bessemer Steel,3,2.3
0.6,3.1,55.4,68.9,65,4.1,Bessemer Steel,3,6.9
0.6,3.1,55.4,68.9,65,6.2,Bessemer Steel,3,7.7
0.6,3.1,55.4,68.9,65,8,Bessemer Steel,3,9
0.6,3.1,55.4,68.9,65,9.9,Bessemer Steel,3,9.8
0.6,3.1,55.4,68.9,65,12,Bessemer Steel,3,13.1
10,8.8,31.2,7.2,31.2,1.1,Bessemer Steel,3,0.4
10,8.8,31.2,7.2,31.2,3.6,Bessemer Steel,3,1.2
10,8.8,31.2,7.2,31.2,5.7,Bessemer Steel,3,2
10,8.8,31.2,7.2,31.2,7.6,Bessemer Steel,3,2
10,8.8,31.2,7.2,31.2,11.6,Bessemer Steel,3,3.4
2.63,7.4,14.8,18.7,26.7,1.2,Bessemer Steel,3,1.7
2.63,7.4,14.8,18.7,26.7,3.8,Bessemer Steel,3,2.8
2.63,7.4,14.8,18.7,26.7,5.8,Bessemer Steel,3,3.2
2.63,7.4,14.8,18.7,26.7,7.7,Bessemer Steel,3,3.8
2.63,7.4,14.8,18.7,26.7,9.8,Bessemer Steel,3,12.3
2.63,7.4,14.8,18.7,26.7,11.7,Bessemer Steel,3,9.3
15,7,7.6,23.2,30.9,1.5,Bessemer Steel,3,1.2
15,7,7.6,23.2,30.9,4,Bessemer Steel,3,2.7
15,7,7.6,23.2,30.9,5.1,Bessemer Steel,3,2.6
15,7,7.6,23.2,30.9,8,Bessemer Steel,3,4.3
15,7,7.6,23.2,30.9,10.2,Bessemer Steel,3,4.8
15,7,7.6,23.2,30.9,12,Bessemer Steel,3,5.8
17.7,7.6,25.7,2.6,46.1,1.5,Bessemer Steel,3,0.5
17.7,7.6,25.7,2.6,46.1,4.1,Bessemer Steel,3,1.6
17.7,7.6,25.7,2.6,46.1,6.1,Bessemer Steel,3,2.2
17.7,7.6,25.7,2.6,46.1,8,Bessemer Steel,3,2
17.7,7.6,25.7,2.6,46.1,12.1,Bessemer Steel,3,2.8
17.7,7.6,25.7,2.6,46.1,17.1,Bessemer Steel,3,5.4
12.15,7,28.6,1.1,52.5,1,Bessemer Steel,1.5,1.1
12.15,7,28.6,1.1,52.5,2.3,Bessemer Steel,1.5,2.5
12.15,7,28.6,1.1,52.5,3.6,Bessemer Steel,1.5,3.9
12.15,7,28.6,1.1,52.5,4.55,Bessemer Steel,1.5,4.3
12.15,7,28.6,1.1,52.5,5.5,Bessemer Steel,1.5,4.7
12.15,7,28.6,1.1,52.5,6.6,Bessemer Steel,1.5,5.65
12.15,7,28.6,1.1,52.5,7.7,Bessemer Steel,1.5,6.6
12.15,7,28.6,1.1,52.5,8.65,Bessemer Steel,1.5,7.7
12.15,7,28.6,1.1,52.5,9.6,Bessemer Steel,1.5,8.8
12.15,7,28.6,1.1,52.5,10.6,Bessemer Steel,1.5,9.05
12.15,7,28.6,1.1,52.5,11.6,Bessemer Steel,1.5,9.3
9.5,7.15,33.09,1.55,48.71,6.87,Bessemer Steel,1.5,5.86
6.85,7.3,37.58,2,44.91,2.12,Bessemer Steel,1.5,2.41
6.84,7.3,37.6,2,44.9,3.05,Bessemer Steel,1.5,2.7
6.84,7.3,37.6,2,44.9,4,Bessemer Steel,1.5,3
6.84,7.3,37.6,2,44.9,4.95,Bessemer Steel,1.5,3.2
6.84,7.3,37.6,2,44.9,5.9,Bessemer Steel,1.5,3.4
6.84,7.3,37.6,2,44.9,6.89,Bessemer Steel,1.5,3.5
6.84,7.3,37.6,2,44.9,7.89,Bessemer Steel,1.5,3.6
6.84,7.3,37.6,2,44.9,9.94,Bessemer Steel,1.5,4.74
6.84,7.3,37.6,2,44.9,11.99,Bessemer Steel,1.5,5.89
6.84,7.3,37.6,2,44.9,14.78,Bessemer Steel,1.5,6.99
6.84,7.3,37.6,2,44.9,17.58,Bessemer Steel,1.5,8.09
91.77,6.06,33.38,10.04,45.5,9.85,Bessemer Steel,1.5,5.07
177.28,4.81,29.13,18.14,46.1,2.06,Bessemer Steel,1.5,2.02
177.9,4.8,29.1,18.2,46.1,2.99,Bessemer Steel,1.5,2.74
177.9,4.8,29.1,18.2,46.1,3.99,Bessemer Steel,1.5,3.49
177.9,4.8,29.1,18.2,46.1,4.94,Bessemer Steel,1.5,3.5
177.9,4.8,29.1,18.2,46.1,5.89,Bessemer Steel,1.5,3.5
177.9,4.8,29.1,18.2,46.1,6.89,Bessemer Steel,1.5,3.7
177.9,4.8,29.1,18.2,46.1,7.89,Bessemer Steel,1.5,3.9
177.9,4.8,29.1,18.2,46.1,9.93,Bessemer Steel,1.5,4
177.9,4.8,29.1,18.2,46.1,11.98,Bessemer Steel,1.5,4.1
177.9,4.8,29.1,18.2,46.1,14.77,Bessemer Steel,1.5,4.6
177.9,4.8,29.1,18.2,46.1,17.57,Bessemer Steel,1.5,5.09
122.89,5.2,25.69,12.66,32.05,9.44,Bessemer Steel,1.5,3.27
67.31,5.6,22.24,7.06,17.85,1.19,Bessemer Steel,1.5,1.42
66.7,5.6,22.2,7,17.7,2.53,Bessemer Steel,1.5,2.44
66.7,5.6,22.2,7,17.7,3.98,Bessemer Steel,1.5,3.49
66.7,5.6,22.2,7,17.7,5.04,Bessemer Steel,1.5,4.04
66.7,5.6,22.2,7,17.7,6.09,Bessemer Steel,1.5,4.59
66.7,5.6,22.2,7,17.7,7.04,Bessemer Steel,1.5,4.95
66.7,5.6,22.2,7,17.7,7.99,Bessemer Steel,1.5,5.3
66.7,5.6,22.2,7,17.7,9.97,Bessemer Steel,1.5,5.74
66.7,5.6,22.2,7,17.7,11.97,Bessemer Steel,1.5,6.19
40.29,6.29,25.46,5.96,26.63,7.02,Bessemer Steel,1.5,3.83
13.52,6.99,28.75,4.91,35.67,1.97,Bessemer Steel,1.5,1.43
13.15,7,28.8,4.9,35.8,2.98,Bessemer Steel,1.5,1.89
13.15,7,28.8,4.9,35.8,4.08,Bessemer Steel,1.5,2.39
13.15,7,28.8,4.9,35.8,5.13,Bessemer Steel,1.5,3.58
13.15,7,28.8,4.9,35.8,6.18,Bessemer Steel,1.5,4.78
13.15,7,28.8,4.9,35.8,7.14,Bessemer Steel,1.5,5
13.15,7,28.8,4.9,35.8,8.09,Bessemer Steel,1.5,5.2
13.15,7,28.8,4.9,35.8,10.07,Bessemer Steel,1.5,5.3
13.15,7,28.8,4.9,35.8,12.07,Bessemer Steel,1.5,5.4
13.15,7,28.8,4.9,35.8,14.76,Bessemer Steel,1.5,6.83
13.15,7,28.8,4.9,35.8,17.45,Bessemer Steel,1.5,8.28
218.47,6.46,20.64,22.44,21.75,9.83,Bessemer Steel,1.5,4.32
427.33,5.91,12.35,40.29,7.45,2.04,Bessemer Steel,1.5,0.27
431,5.9,12.2,40.6,7.2,2.98,Bessemer Steel,1.5,0.49
431,5.9,12.2,40.6,7.2,4.08,Bessemer Steel,1.5,0.79
431,5.9,12.2,40.6,7.2,5.13,Bessemer Steel,1.5,0.75
431,5.9,12.2,40.6,7.2,6.18,Bessemer Steel,1.5,0.7
431,5.9,12.2,40.6,7.2,7.13,Bessemer Steel,1.5,0.75
431,5.9,12.2,40.6,7.2,8.08,Bessemer Steel,1.5,0.8
431,5.9,12.2,40.6,7.2,10.06,Bessemer Steel,1.5,0.85
431,5.9,12.2,40.6,7.2,12.06,Bessemer Steel,1.5,0.9
431,5.9,12.2,40.6,7.2,14.75,Bessemer Steel,1.5,1.19
431,5.9,12.2,40.6,7.2,17.44,Bessemer Steel,1.5,1.49
230.38,5.17,23.02,22.54,34.81,9.42,Bessemer Steel,1.5,1.06
25.54,4.42,34.07,4.09,63,1.17,Bessemer Steel,1.5,0.61
21.2,4.4,34.3,3.7,63.6,2.22,Bessemer Steel,1.5,1.48
21.2,4.4,34.3,3.7,63.6,3.47,Bessemer Steel,1.5,2.38
