Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,6.552185044872999,-0.68417399624434
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.621542276909198,-0.7660644969505658
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,11.89799046952861,-1.0663244418016469
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.213989673427312,0.1747406321054609
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,4.0715829240028105,1.0733787044684295
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.02335449464745,0.6832528903844006
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,5.85563482568255,0.5928745553738528
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.3151454720650655,-0.5734851093931899
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,18.33211964806758,1.297530541336381
10.0,8.8,31.2,4.83,7.2,31.2,3.0,False,True,False,1.745057368190149,0.2657342096371118
2.48,7.38,14.8,3.9,18.55,26.54,3.03,False,False,True,2.6748308071078823,1.3303361106148537
74.09,6.18,19.89,11.64,18.24,21.04,1.5,False,True,False,3.622819059970444,1.3947212336073127
12.15,7.0,28.6,4.7,1.1,52.5,3.0,True,False,False,4.967783999842287,1.4140497044970148
177.86,4.76,29.24,7.9,18.08,46.07,1.39,False,True,False,3.911632648711902,-0.6328839880885463
74.6,6.6,13.0,7.9,27.8,6.6,3.0,False,True,False,3.589711074833444,1.2948659571935297
110.0,5.3,32.0,6.41,15.5,53.1,3.0,False,False,True,1.6468739842978344,1.4140934955736701
66.7,5.6,22.2,12.0,7.0,17.7,3.0,False,True,False,6.697707722345844,-0.797779939524057
4.08,6.8,24.6,7.85,2.5,62.6,3.0,False,True,False,12.779600919552449,0.8852940997618292
177.9,4.8,29.1,8.22,18.2,46.1,3.0,True,False,False,3.540490033512972,1.403441934543892
49.0,6.7,23.4,8.0,14.7,35.1,3.0,False,True,False,3.346542862325756,1.4081870776869636
431.0,5.9,12.2,4.42,40.6,7.2,3.0,False,True,False,0.615046374166958,-0.6995934172637533
28.2,6.8,24.8,1.0,15.8,52.1,3.0,False,False,True,0.6131617922966921,-1.0631496334693562
66.7,5.6,22.2,10.95,7.0,17.7,3.0,False,False,True,6.35542476500388,-0.632796319779063
7.56,5.46,32.2,7.09,17.85,53.71,1.5,True,False,False,5.292761706885655,1.246461936169892
205.0,4.7,2.8,10.12,38.1,0.6,3.0,True,False,False,2.7815732339814767,-0.6651291329342524
10.0,8.8,31.2,10.28,7.2,31.2,3.0,False,False,True,3.281101289023541,-0.900713722404766
111.94,4.5,13.65,4.2,16.0,17.62,1.49,True,False,False,1.7170214359465013,1.0232962923530045
3.3,7.6,37.0,1.1,8.7,70.1,3.0,True,False,False,0.7331934338967157,-1.2166875512952884
21.2,4.4,34.3,8.59,3.7,63.6,3.0,False,False,True,4.488360932920253,-0.7186937111964237
2.9,9.5,21.7,5.9,34.5,9.4,3.0,True,False,False,6.002741643451781,-0.1103004189453914
59.8,4.5,30.8,5.9,4.4,51.7,1.5,False,False,True,5.6657940208132525,0.31592054933297187
386.0,4.5,3.0,7.7,32.1,2.6,1.5,False,True,False,1.49761661436321,-0.6195462139729181
29.06,7.47,22.52,1.0,3.69,36.24,3.02,False,True,False,0.9062807894616794,-0.6452168894110784
