Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.373363567919643,0.5177662640641874
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.011139190472685,0.5071280103046875
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.828037883308816,0.6161872589167031
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.005847493953455,0.5051947993223777
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.086124492096486,0.5204553827756617
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.4646758909670747,0.505980872532707
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7183851625516493,0.500084503549708
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,13.782482942486585,0.5034525098290031
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,1.759922807514566,0.5196007586224078
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.8787610075836825,0.5570534536258476
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.184772799617627,0.5162215998503077
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.842122200350664,0.5001223479346468
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.9329499962465235,0.5556884275392154
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.6107195572307624,0.5241179296082318
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.562469390524704,0.9999999988565136
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5379582968840618,0.5213091735605407
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,2.553654754859492,0.9178768361240627
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.005215434530212,0.6285350838008441
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.6617640095203994,0.5047771518976809
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.0529111184869135,0.5300813004183742
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.428014200663869,0.5345382670249846
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.570960535529094,0.6132738121906325
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.315178896023357,0.504544057409467
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.837621591096394,0.5327824317701676
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.172812248882911,0.547638344160454
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.127995606992074,0.5019357970403463
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.3390057301650515,0.5111278076824958
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,1.4351907104062152,0.5162262436154794
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,14.138288345225256,0.9674504863359139
