Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,4.712449879571528,0.767626556931857
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.801648436970299,0.3397154242372105
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,12.269436497280376,0.1703474615955462
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.593229060003878,0.28874961286403006
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,3.8139628020117566,0.3005450242161058
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.800119552073302,0.3469252698371483
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,6.559408903713223,0.3461280949400622
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.54783900662899,0.360446449586282
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,17.63672550395528,0.009324798212249468
10.0,8.8,31.2,4.83,7.2,31.2,3.0,False,True,False,2.022928245368127,0.3367840298761156
2.48,7.38,14.8,3.9,18.55,26.54,3.03,False,False,True,2.8213956714190886,0.3285573051252086
74.09,6.18,19.89,11.64,18.24,21.04,1.5,False,True,False,4.423308962761064,0.3023306193751264
12.15,7.0,28.6,4.7,1.1,52.5,3.0,True,False,False,4.756905903852031,0.32842208445452
177.86,4.76,29.24,7.9,18.08,46.07,1.39,False,True,False,4.312996358871889,0.42136116732145257
74.6,6.6,13.0,7.9,27.8,6.6,3.0,False,True,False,3.920610692109374,0.29128003736339236
110.0,5.3,32.0,6.41,15.5,53.1,3.0,False,False,True,1.4423747976400652,0.3242495313170592
66.7,5.6,22.2,12.0,7.0,17.7,3.0,False,True,False,6.659582511023203,0.3046707206664541
4.08,6.8,24.6,7.85,2.5,62.6,3.0,False,True,False,14.701898111111545,3.292072679721531e-05
177.9,4.8,29.1,8.22,18.2,46.1,3.0,True,False,False,4.481709867091704,0.22719681213622508
49.0,6.7,23.4,8.0,14.7,35.1,3.0,False,True,False,3.2730188656294668,0.3317352743119271
431.0,5.9,12.2,4.42,40.6,7.2,3.0,False,True,False,1.9199102037233784,0.677144263330975
28.2,6.8,24.8,1.0,15.8,52.1,3.0,False,False,True,0.07360998780202,0.3863633363138655
66.7,5.6,22.2,10.95,7.0,17.7,3.0,False,False,True,6.992784257893573,0.3198143239098394
7.56,5.46,32.2,7.09,17.85,53.71,1.5,True,False,False,7.761621210932498,1.9042887055753102e-10
205.0,4.7,2.8,10.12,38.1,0.6,3.0,True,False,False,3.676175122666345,0.6288422984991553
10.0,8.8,31.2,10.28,7.2,31.2,3.0,False,False,True,4.1697014626487245,0.6536943363101105
111.94,4.5,13.65,4.2,16.0,17.62,1.49,True,False,False,1.776269429606213,0.3396957787606681
3.3,7.6,37.0,1.1,8.7,70.1,3.0,True,False,False,0.6725503092897034,0.333265106760817
21.2,4.4,34.3,8.59,3.7,63.6,3.0,False,False,True,4.853947196750127,0.3888054305914492
2.9,9.5,21.7,5.9,34.5,9.4,3.0,True,False,False,6.5542530774941845,0.01821266092265033
59.8,4.5,30.8,5.9,4.4,51.7,1.5,False,False,True,5.738616239355347,0.32559156327851013
386.0,4.5,3.0,7.7,32.1,2.6,1.5,False,True,False,2.975168691692419,0.6358188382001992
29.06,7.47,22.52,1.0,3.69,36.24,3.02,False,True,False,0.220287163952615,0.530284351989258
74.76,6.68,12.92,6.0,27.83,6.75,2.9,False,False,True,3.6037250340991056,0.3530872696863719
49.0,6.7,23.4,8.36,14.7,35.1,3.0,False,False,True,3.688596916758687,0.3242705566677801
28.13,6.77,24.82,3.6,15.74,51.95,1.6,True,False,False,2.4187863852911877,0.3569124534371006
31.9,7.1,12.4,13.75,33.5,12.8,1.5,False,False,True,4.528244019921519,0.3232986170181123
137.02,4.82,34.64,11.9,14.78,45.91,1.54,False,True,False,10.551057823133046,0.1568179217679728
114.0,4.5,13.0,16.99,34.7,5.6,1.5,True,False,False,2.1929319336013227,0.4777632808065393
431.0,5.9,12.2,8.71,40.6,7.2,3.0,False,True,False,2.5248794503629544,0.8827638804472128
2.63,7.4,14.8,1.43,18.7,26.7,3.0,False,True,False,1.0432330593519596,0.3278956922244345
3.3,7.6,37.0,1.29,8.7,70.1,3.0,True,False,False,0.7681623783002367,0.33215820741611785
21.4,4.67,34.22,17.0,3.5,63.62,1.53,True,False,False,5.778173018873121,0.3913740943913314
29.8,7.3,46.4,4.9,20.9,18.6,3.0,False,False,True,2.0854126475252173,0.40658448981001155
386.0,4.5,3.0,4.72,32.1,2.6,1.5,False,True,False,2.3983988117966084,0.9155314566471081
4.89,7.5,54.4,4.26,5.7,70.4,3.0,False,True,False,3.4675426096905597,0.335375576336836
0.64,2.89,55.19,6.3,69.19,65.1,1.59,False,False,True,8.873741687406513,0.4171781246483438
33.39,7.07,12.77,2.09,33.16,13.57,1.5,True,False,False,0.5474380547953661,0.33856264845996475
28.9,7.5,22.4,10.19,3.8,36.3,1.5,False,False,True,4.897802829829597,0.3632075129842283
6.84,7.3,37.6,8.22,2.0,44.9,3.0,True,False,False,5.580962238519495,0.5984778201453896
114.21,4.56,13.16,4.1,34.96,5.67,3.02,True,False,False,0.9469787999337886,0.3485692441053595
12.7,4.2,34.5,6.0,26.6,71.2,1.5,False,True,False,10.506349743568926,0.16661266513214537
17.7,7.6,25.7,1.5,2.6,46.1,1.5,False,False,True,-0.041139823720708,0.39124105859220654
12.73,4.16,34.51,2.2,26.56,71.25,1.53,False,True,False,4.605996767702159,0.306613419903275
20.49,7.48,17.85,17.5,10.74,26.01,3.13,False,True,False,1.881974198075444,1.6425739280145732e-06
137.0,4.7,34.8,2.9,14.9,45.8,1.5,True,False,False,4.364240390000477,0.3021369683904351
11.4,7.3,28.4,11.16,16.6,20.3,3.0,False,False,True,3.464287644987213,0.4306415266637506
82.9,4.4,22.2,6.73,12.0,26.5,1.5,False,True,False,5.367372362100704,0.2810608721453344
252.48,6.37,19.29,8.56,25.35,19.42,3.0,True,False,False,3.0797506185048533,0.43068581222065977
28.14,6.89,24.79,11.5,15.67,52.23,2.89,False,True,False,4.88916451131908,0.32298440848948107
0.6,3.1,55.4,8.0,68.9,65.0,3.0,False,False,True,10.339358372269295,0.33561992975454136
7.12,4.2,57.8,8.28,22.4,29.8,1.5,True,False,False,21.420370331827367,0.08325729983453005
49.0,6.7,23.4,8.67,14.7,35.1,1.5,False,True,False,3.5455547810766896,0.33502527187837045
59.8,4.5,30.8,3.91,4.4,51.7,3.0,True,False,False,3.833476383770357,0.3302125337439134
109.98,5.11,32.06,7.8,15.61,53.05,2.93,False,False,True,1.95202083686598,0.32249347200290684
74.6,6.6,13.0,6.1,27.8,6.6,3.0,False,False,True,3.65816943559932,0.3453001515627554
74.64,6.47,12.94,12.0,27.75,6.69,3.07,False,False,True,5.026940467102619,0.3522663032278915
2.68,9.37,24.72,1.7,6.23,6.23,1.23,True,False,False,5.922718849086305,0.7785937620476855
431.0,5.9,12.2,5.13,40.6,7.2,1.5,True,False,False,2.112319510677888,0.7617966018550415
49.0,6.7,23.4,3.19,14.7,35.1,3.0,False,False,True,2.01190917004032,0.3576514926477174
5.7,3.7,42.6,4.56,1.9,87.8,1.5,False,False,True,2.9339074520849517,0.36338125864423354
12.75,8.49,20.33,4.44,28.37,10.77,1.5,False,False,True,2.4559795292705155,0.9995031662310208
85.0,4.9,29.4,3.46,5.4,1.2,1.5,True,False,False,2.282770953974986,0.3202455231181343
9.7,6.0,33.0,2.0,2.3,47.1,3.0,True,False,False,2.597029563044621,0.36516377645947024
51.5,4.9,28.4,6.34,9.6,22.3,1.5,False,True,False,5.098093402778029,0.3521811014611371
8.0,6.8,72.8,10.08,34.0,46.2,3.0,False,False,True,11.90082363315346,0.5608628220029366
17.8,7.2,25.8,1.0,9.5,36.0,1.5,True,False,False,0.4308821630419193,0.3299717238853906
4.89,7.5,54.4,7.41,5.7,70.4,3.0,False,False,True,5.327128021141188,0.28408009192244427
12.7,4.2,34.5,2.24,26.6,71.2,3.0,False,True,False,4.636717249595382,0.23630803683414728
112.0,3.8,7.0,5.4,3.5,4.5,3.0,False,False,True,5.210766981001889,0.6719201751135152
112.0,3.8,7.0,10.6,3.5,4.5,1.5,False,False,True,7.829298947617579,0.47149209467280406
12.15,7.0,28.6,9.11,1.1,52.5,3.0,False,False,True,8.133474605867914,0.39433556335116327
28.2,6.8,24.8,1.0,15.8,52.1,1.5,False,True,False,0.6264589172635944,0.32307422430229166
206.43,4.04,5.62,8.35,13.36,3.85,1.5,False,True,False,3.627317286739137,0.8852571881304393
19.64,4.56,28.36,5.7,3.72,34.28,2.87,False,True,False,2.387098829822227,0.33221867468226407
13.2,5.3,33.1,17.4,6.9,40.3,1.5,False,False,True,6.545990511845666,0.33147686654241776
57.0,7.3,17.8,2.43,11.7,15.8,3.0,True,False,False,0.8719558555089248,0.32723923043821807
35.07,6.35,17.04,5.9,14.29,14.15,2.89,False,False,True,3.036519816402449,0.2583613087461291
137.0,4.7,34.8,10.12,14.9,45.8,3.0,True,False,False,9.672200514515788,0.3492243342579111
51.5,4.9,28.4,11.6,9.6,22.3,3.0,True,False,False,7.44468772825484,0.24442913200532065
51.52,4.92,28.19,7.5,9.74,22.42,1.52,False,False,True,6.155468518825234,0.3273225940031883
21.22,4.32,34.21,16.7,3.91,63.6,1.48,False,False,True,6.231477301991535,0.44875347742582966
177.9,4.8,29.1,12.0,18.2,46.1,1.5,False,True,False,4.550994961323971,0.3536597795143324
17.7,7.6,25.7,2.59,2.6,46.1,1.5,True,False,False,0.3508949403139265,0.35391650225658594
14.94,6.79,7.54,4.1,23.22,31.07,3.07,True,False,False,2.804001590823592,0.3446945902579553
3.3,7.6,37.0,8.57,8.7,70.1,1.5,False,True,False,4.700074510172885,0.29785984104023
6.13,6.45,41.16,5.59,32.59,45.11,3.0,False,True,False,7.975292250752073,0.9967506546568282
12.15,7.0,28.6,9.6,1.1,52.5,1.5,True,False,False,8.05920178877656,0.4601013558197797
5.74,3.84,42.59,12.0,1.85,87.84,1.43,False,False,True,6.816027466643785,0.6480250678924077
46.93,6.75,16.17,3.82,30.04,20.56,1.5,False,False,True,1.4526548568846556,0.19931268660006782
6.87,7.43,37.43,12.1,2.15,44.9,3.07,True,False,False,7.03680276528921,0.38940444143961844
2.34,8.8,28.7,7.5,5.0,24.5,1.5,True,False,False,17.489811724297205,1.172926784995454e-06
386.07,4.56,3.05,12.1,32.12,2.44,3.1,True,False,False,3.867383368773038,0.8736385955414889
137.0,4.7,34.8,9.58,14.9,45.8,1.5,False,False,True,9.74852640672043,0.04616669675875852
431.0,5.9,12.2,1.9,40.6,7.2,1.5,True,False,False,1.65682984479304,0.8048315520519619
431.0,5.9,12.2,1.9,40.6,7.2,1.5,False,True,False,1.500663254086951,0.7187407093026118
74.54,6.7,13.11,8.1,27.83,6.37,1.59,False,False,True,4.31594931658077,0.32819658999731155
2.78,9.4,24.7,8.1,6.1,6.2,3.0,True,False,False,17.99130516445107,0.7151436527612466
82.9,4.4,22.2,10.11,12.0,26.5,3.0,True,False,False,6.443647707468299,0.3140051506940577
57.0,7.3,17.8,9.66,11.7,15.8,3.0,True,False,False,3.2961854104517,0.36209401625070725
51.5,4.9,28.4,1.7,9.6,22.3,3.0,False,False,True,2.3504304940875427,0.47565253739004393
17.7,7.6,25.7,6.1,2.6,46.1,1.5,True,False,False,1.949326810242339,0.3471923687628099
13.2,5.3,33.1,15.64,6.9,40.3,3.0,False,False,True,6.699389668140973,0.4891188808118751
17.8,7.46,25.83,12.1,2.68,46.02,3.02,False,True,False,3.5894767931615297,0.3107633314436609
0.6,3.1,55.4,8.48,68.9,65.0,1.5,False,False,True,11.709321106481603,0.3254233447486014
4.08,6.8,24.6,7.7,2.5,62.6,3.0,True,False,False,14.762990029528078,0.8367471885895448
35.2,6.2,17.2,7.66,14.4,13.9,1.5,True,False,False,3.843989918046256,0.2278863404934306
30.57,5.87,30.16,5.23,3.98,36.84,3.0,False,False,True,3.7566008746554393,0.2715040832553814
28.2,6.8,24.8,7.67,15.8,52.1,1.5,True,False,False,3.9871058826997463,0.5333674139829827
9.7,6.0,33.0,8.35,2.3,47.1,3.0,False,False,True,6.795144190695252,0.3309319545460026
35.2,6.2,17.2,3.8,14.4,13.9,1.5,True,False,False,2.5881308432552275,0.34007678487791015
23.7,6.2,31.2,3.91,10.8,30.9,1.5,True,False,False,2.791830826573433,0.30139150641615686
2.63,7.4,14.8,1.64,18.7,26.7,3.0,False,False,True,1.6921172131709912,0.3240563478472176
0.6,3.1,55.4,8.0,68.9,65.0,3.0,False,True,False,8.962199920770338,0.9131513337279606
17.56,7.61,25.81,4.0,2.65,46.1,2.94,False,True,False,1.1996638042449712,0.2865842263642142
57.0,7.3,17.8,9.6,11.7,15.8,3.0,True,False,False,3.28069913515335,0.36267103726436056
6.79,7.26,37.56,6.0,1.94,44.97,2.96,True,False,False,4.296179845085737,0.3732191710379729
17.8,7.2,25.8,11.7,9.5,36.0,3.0,True,False,False,3.2229337080097165,0.3298768230836756
8.0,6.8,72.8,2.86,34.0,46.2,3.0,False,False,True,2.2565342908927484,0.3276840212669951
386.0,4.5,3.0,17.2,32.1,2.6,3.0,True,False,False,4.751479774332806,0.9538528425688635
49.0,6.7,23.4,6.46,14.7,35.1,3.0,False,False,True,2.9610127406940854,0.3335416889594549
12.76,4.32,34.46,5.9,26.71,70.97,1.52,True,False,False,9.348473885402598,0.00779846899326757
28.93,7.59,22.27,7.6,3.76,36.39,3.08,False,False,True,3.474145234637831,0.3203101629661097
66.7,5.6,22.2,8.0,7.0,17.7,1.5,False,True,False,5.070913633795716,0.3369968787683373
83.0,4.42,22.22,4.1,11.98,26.51,1.71,True,False,False,3.833805402136091,0.46542962333582744
2.78,9.4,24.7,7.93,6.1,6.2,1.5,True,False,False,17.6948649441167,0.47129364368418697
28.24,6.88,24.7,11.6,15.75,52.16,1.48,False,True,False,5.3248930400170895,0.3313832646585184
20.6,7.3,18.0,8.43,10.9,26.0,3.0,False,True,False,1.7336475323664438,0.3208674102259075
51.5,4.9,28.4,8.53,9.6,22.3,1.5,True,False,False,6.36668580267888,0.33319536326875415
112.0,3.8,7.0,10.1,3.5,4.5,3.0,False,False,True,7.6961063004148675,0.38599756046748385
205.04,4.69,2.91,8.0,38.06,0.46,3.02,False,False,True,3.119378766641922,0.549377482032272
205.12,4.69,2.86,1.8,38.28,0.61,1.68,True,False,False,2.0667782520060607,0.3235079255903254
51.51,4.85,28.1,3.6,9.78,22.55,1.41,False,True,False,3.510544774218245,0.3493040051926474
112.0,3.8,7.0,10.1,3.5,4.5,3.0,True,False,False,7.620883351562682,0.43433253046911
9.9,5.89,32.98,8.0,2.31,47.04,3.01,False,False,True,6.571416299032418,0.3775601416206551
5.7,3.7,42.6,10.8,1.9,87.8,3.0,False,False,True,6.055435186532245,0.5169038777270296
